,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3666,Lost In The Sun,20%,37%,,"crime,mysteryandthriller,drama",English,TreyNelson,"ClayFloren,ClayPecorin,AimeeShieh",TreyNelson,"Nov6,2015 limited","Nov6,2015",1h35m,FlorenShiehProductions,,,,
3667,We Are Your Friends,38%,42%,R(LanguageThroughout|DrugUse|SexualContent|SomeNudity),"romance,drama",English,MaxJoseph,"TimBevan,EricFellner,LizaChasin","MaxJoseph,MeaghanOppenheimer","Aug28,2015 wide","Jun28,2016",1h36m,WorkingTitleFilms,,DolbyDigital,$3.6M,
3668,John Mulaney: The Comeback Kid,100%,96%,,,,,,,,,,,,,,
3669,Rebels Of The Neon God,100%,76%,,drama,Chinese,Ming-liangTsai,Feng-chyiJian,,"Apr10,2015 limited","Aug10,2016",1h46m,WarnerBrothers/SevenArts,,,$28.4K,
3670,Southpaw,59%,75%,R(SomeViolence|LanguageThroughout),drama,English,AntoineFuqua,,KurtSutter,"Jul24,2015 wide","Aug10,2016",2h3m,"RicheProductions,FuquaFilms,EscapeArtists",,DolbyDigital,$52.4M,
3671,Pixels,17%,46%,PG-13(SuggestiveComments|SomeLanguage),"scifi,comedy,action,adventure,fantasy",English,ChrisColumbus,"AdamSandler,ChrisColumbus,MarkRadcliffe,AllenCovert","TimHerlihy,TimothyDowling","Jul24,2015 wide","May23,2016",1h46m,"ColumbiaPictures,LStarCapital",Scope(2.35:1),DolbyAtmos,$78.7M,
3672,The Girls In The Band,100%,57%,,"music,documentary",English,JudyChaikin,"JudyChaikin,HughHefner","JudyChaikin,EdwardOsei-Gyimah",,"Dec12,2016",1h21m,,,,,
3673,Inside Out,98%,89%,PG(SomeAction|MildThematicElements),"animation,comedy,kidsandfamily,fantasy",English,PeteDocter,JonasRivera,"PeteDocter,MegLeFauve,JoshCooley","Jun19,2015 wide","Nov3,2015",1h35m,"PixarAnimationStudios,WaltDisneyPictures",,"DolbyAtmos,Datasat",$2.0M,Pixar
3674,Vacation,27%,45%,R(CrudeandSexualContent|BriefGraphicNudity|LanguageThroughout),"adventure,comedy",English,"JonathanM.Goldstein,JohnFrancisDaley","DavidDobkin,ChrisBender","JonathanM.Goldstein,JohnFrancisDaley","Jul29,2015 wide","May23,2016",1h39m,"Benderspink,NewLineCinema",Scope(2.35:1),DolbyDigital,$58.9M,
3675,The Human Centipede III (Final Sequence),17%,11%,,horror,English,TomSix,"IlonaSix,TomSix",TomSix,"May22,2015 limited","Dec5,2016",1h43m,,,,,
3676,Matt Shepard Is A Friend Of Mine,100%,86%,,"documentary,biography",English,MicheleJosue,"MicheleJosue,LiamMcNiff",MicheleJosue,,"Jul29,2016",1h29m,RunRabbitRunMedia,,,,
3677,Stations Of The Cross,92%,74%,,drama,German,DietrichBrüggemann,"LeifAlexis,FabianMaubach","AnnaBrüggemann,DietrichBrüggemann",,"Aug4,2016",1h47m,"Arte,UFAFiction,ZweitesDeutschesFernsehen",,,,
