,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
5435,The Lords Of Salem,46%,30%,R(DisturbingViolentContent|DisturbingSexualContent|GraphicNudity|Language|SomeDrugUse),horror,English,RobZombie,"RobZombie,JasonBlum,AndyGould,OrenPeli",RobZombie,"Apr19,2013 limited","Nov30,2016",1h40m,Alliance,,,$1.2M,
5436,The Great Gatsby,48%,67%,PG-13(Partying|BriefLanguage|SexualContent|Smoking|SomeViolentImages),drama,English,BazLuhrmann,"BazLuhrmann,CatherineMartin,DouglasWick,LucyFisher,CatherineKnapman","BazLuhrmann,CraigPearce","May10,2013 wide","Dec14,2015",2h22m,"BazmarkFilms,RedWagonEntertainment",,"SDDS,DolbyDigital,Datasat",$144.8M,
5437,Going Down In La-la Land,67%,49%,,"romance,comedy,drama",English,CasperAndreas,,CasperAndreas,"Sep21,2011 limited","Nov20,2016",1h45m,EmbremEntertainment,,,,
5438,Now You See Me,51%,70%,PG-13(SexualContent|Language|SomeAction),"mysteryandthriller,comedy,drama",English,LouisLeterrier,"AlexKurtzman,RobertoOrci,BobbyCohen,BoazYakin","EdSolomon,BoazYakin,EdwardRicourt","May31,2013 wide","Mar2,2015",1h56m,K/OPaperProducts,,,$117.7M,
5439,Twixt,26%,18%,R(SomeBloodyViolence),"mysteryandthriller,horror",English,FrancisFordCoppola,FrancisFordCoppola,FrancisFordCoppola,,"Nov25,2015",1h28m,AmericanZoetrope,,,,
5440,33 Postcards,27%,43%,,drama,English,PaulineChan,"ZhiJiangLiu,PennyCarl-Nelson,PaulineChan,LesleyStevens","MartinEdmond,PaulineChan,PhilipDalkin","May17,2013 limited","Dec1,2016",1h37m,"ZhejiangHengdianFilmProduction,PortalPictures",,,,
5441,From Up On Poppy Hill,86%,81%,PG(MildThematicElements|SomeIncidentalSmokingImages),"anime,kidsandfamily,drama",Japanese,GoroMiyazaki,"TetsurôSayama,ToshioSuzuki,ChizuruTakahashi","HayaoMiyazaki,KeikoNiwa,TetsurôSayama","Mar15,2013 limited","Dec14,2019",1h31m,,,,$284.7K,
5442,Violeta Went To Heaven,73%,83%,,"drama,history,biography",Spanish,AndrésWood,,"EliseoAltunaga,RodrigoBazaes,GuillermoCalderón,AndrésWood","Mar29,2013 limited","Sep1,2016",1h50m,"ANCINE/MinistériodaCultura,FundoSetorialdoAudiovisual,InstitutoNacionaldeCineyArtesAudiovisuales(INCAA)",,,$21.3K,
5443,Pain & Gain,50%,47%,R(CrudeSexualContent|BloodyViolence|DrugUse|LanguageThroughout|Nudity),"action,comedy,drama",English,MichaelBay,"DonaldDeLine,MichaelBay,IanBryce","ChristopherMarkus,StephenMcFeely","Apr26,2013 wide","May7,2015",2h9m,DeLinePictures,,,$49.9M,
5444,The Iceman,66%,62%,R(SomeSexualContent|PervasiveLanguage|StrongViolence),"mysteryandthriller,drama",English,ArielVromen,"AviLerner,ArielVromen,EhudBleiberg","ArielVromen,MorganLand","May3,2013 limited","May22,2017",1h45m,BleibergEntertainment,,,$1.9M,
5445,Évocateur: The Morton Downey Jr. Movie,91%,84%,R(Language|SomeNudity),documentary,English,"SethKramer,DanielA.Miller,JeremyNewberger","SethKramer,DanielA.Miller,JeremyNewberger",DanielA.Miller,"Jun7,2013 limited","Nov15,2016",1h31m,IronboundFilms,,,$21.5K,
5446,I Do,17%,55%,,"comedy,drama",English,GlennGaylord,"StephenIsrael,DavidW.Ross",DavidW.Ross,"May31,2013 limited","Aug10,2016",1h31m,SchoolPictures,,,,
5447,Kon Tiki,81%,77%,PG-13(ADisturbingViolentSequence),"adventure,drama",Norwegian,"JoachimRønning,EspenSandberg",AageAaberge,,"Apr26,2013 limited","Apr1,2017",1h58m,"FilmiVäst,RecordedPictureCompany(RPC),DCMProductions,NordiskFilm",,,$1.5M,
5448,Free Angela & All Political Prisoners,93%,83%,,documentary,English,SholaLynch,SidraSmith,SidraSmith,"Apr5,2013 limited","Aug20,2013",1h41m,,,,,
5449,Iceberg Slim: Portrait Of A Pimp,64%,64%,R(Language|ViolentImages|SexualContent),"documentary,biography",English,JorgeHinojosa,"DannyBresnik,JeffScheftel",,,"Nov30,2016",1h29m,FinalLevelEntertainment,,,,
5450,Arthur Newman,20%,25%,R(SexualContent|Language|BriefDrugUse),"romance,comedy,drama",English,DanteAriola,"AlisaTager,BeckyJohnston,MichaelCappuccino,BrianOliver",BeckyJohnston,"Apr26,2013 limited","Apr27,2016",1h41m,VertebraFilms,,"Datasat,DolbyDigital",$207.7K,
5451,The Reluctant Fundamentalist,57%,61%,R(Language|BriefSexuality|SomeViolence),drama,English,MiraNair,LydiaDeanPilcher,WilliamWheeler,"Apr26,2013 limited","Dec5,2016",2h8m,"CineMosaic,DohaFilmInstitute,TheMirabaiFilms",,,$519.5K,
5452,At Any Price,51%,31%,R(Language|AStrongGraphicImage|SexualContent),drama,English,RaminBahrani,"ChristineVachon,RaminBahrani,KevinTuren,JustinNappi,PamelaKoffler,TeddySchwarzman","RaminBahrani,HallieElizabethNewton","Apr24,2013 limited","Sep7,2014",1h45m,"NoruzFilms,BlackBearPictures,KillerFilms,TreeHousePictures",,DolbyDigital,$379.8K,
5453,No One Lives,48%,42%,R(PervasiveLanguage|DisturbingImages|SomeSexuality/Nudity|StrongBloodyViolence),"mysteryandthriller,horror",English,RyûheiKitamura,"HarryKnapp,KamiNaghdi",DavidLawrenceCohen,"May10,2013 limited","Nov9,2016",1h26m,"Pathé,WWEStudios",,,$72.1K,
5454,No Place On Earth,80%,72%,PG-13(BriefViolentImages|ThematicElements),documentary,English,JanetTobias,"SusanBarnett,PaulLaikin,RafaelMarmor","JanetTobias,PaulLaikin","Apr5,2013 limited","Aug10,2016",1h24m,,,,$199.7K,
5455,Koch,90%,76%,,"documentary,biography",English,NeilBarsky,"JennyCarchman,LindseyMegrue",,"Feb1,2013 limited","Aug10,2016",1h38m,,,,$342.2K,
5456,André Gregory: Before And After Dinner,NaN,NaN,,scifi,English,WayneTourell,,,,"Sep13,2017",1h33m,,,,,
5457,The English Teacher,41%,30%,R(SexualContent|Language),"comedy,drama",English,CraigZisk,"MatthewE.Chausse,NaomiDespres,BenLeClair,RobertSalerno","DanChariton,StacyChariton","May17,2013 limited","Aug30,2016",1h31m,"ProcinvestSas,ArtinaFilms,MirabellePictures,MirabellePicturesProductions",,,$60.2K,
5458,Scatter My Ashes At Bergdorf's,50%,42%,PG-13(ABriefSexualReference),documentary,English,MatthewMiele,MalloryAndrews,,"May3,2013 limited","May30,2016",1h33m,QuixoticEndeavors,,,$516.7K,
5459,Stranded,0%,9%,,"scifi,horror",English,RogerChristian,,ChristianPiersBetley,,"Oct26,2016",1h25m,GloucesterPlaceFilms,,,,
5460,Rapture-Palooza,24%,29%,R(Language|DrugUse|CrudeSexualReferences),"comedy,fantasy",English,PaulMiddleditch,"JimmyMiller,DavidB.Householter,EdSolomon",ChrisMatheson,"Jun7,2013 limited","Dec20,2015",1h24m,"Mosaic,MimranSchurPictures,LionsgateFilms",,,,
5461,Mike Birbiglia: My Girlfriend's Boyfriend,100%,NaN,,comedy,English,SethBarrish,,,,,1h15m,,,,,
5462,Ishtar,37%,39%,PG-13,comedy,English,ElaineMay,WarrenBeatty,,,"Aug6,2013",1h47m,ColumbiaPicturesCorporation,,,$12.7M,
5463,I Killed My Mother,83%,81%,,"drama,biography",French(Canada),XavierDolan,XavierDolan,XavierDolan,,"Feb13,2017",1h36m,,,,,
5464,Dog Pound,65%,69%,,"mysteryandthriller,drama",English,KimChapiron,GeorgesBermann,"JeremieDelon,KimChapiron",,"Mar18,2016",1h28m,"Partizan,Canal+",,,,
5465,The Company You Keep,54%,45%,R(Language),mysteryandthriller,English,RobertRedford,"NicolasChartier,RobertRedford,BillHolderman",LemDobbs,"Apr5,2013 limited","Sep7,2014",2h1m,"VoltagePictures,WildwoodEnterprises",,,$5.1M,
5466,Killing Season,10%,29%,R(SomeSexualReferences|Language|SomeTorture|StrongViolence),"mysteryandthriller,action",English,MarkStevenJohnson,"PaulBreuls,EdCathellIII",EvanDaugherty,"Jul12,2013 limited","Nov30,2016",1h30m,"Corsan,NuImage/MillenniumFilms",,,$27.7K,
5467,Shadow Dancer,84%,52%,R(SomeViolentContent|Language),"mysteryandthriller,drama",English,JamesMarsh,"ChrisCoen,AndrewLowe,EdGuiney",TomBradby,"May31,2013 limited","Nov17,2016",1h42m,BBCFilms,,,$99.1K,
5468,Don't Stop Believin': Everyman's Journey,64%,72%,R(SomeLanguage),documentary,English,RamonaS.Diaz,"RamonaS.Diaz,CapellaFahoome",RamonaS.Diaz,"Mar8,2013 limited","Apr14,2016",1h45m,ArcadyBayEntertainment,,,$59.6K,
5469,Paradise: Love,78%,68%,,drama,German,UlrichSeidl,"PhilippeBober,ChristineRuppert,UlrichSeidl","UlrichSeidl,VeronikaFranz",,"Mar28,2016",2h,"UlrichSeidlFilmProduktionGmbH,SociétéParisiennedeProduction,Tatfilm",,,$23.8K,
5470,Tortoise In Love,45%,37%,,comedy,English,GuyBrowning,SteffanAquarone,GuyBrowning,,"Jan29,2016",1h30m,,,,,
5471,Antiviral,66%,40%,,"scifi,mysteryandthriller,horror",English,BrandonCronenberg,NivFichman,BrandonCronenberg,,"Mar29,2017",1h48m,,,,,
5472,Post Tenebras Lux,53%,49%,,drama,Spanish,CarlosReygadas,"ArnoldHeslenfeld,JeanLabadie,JaimeRomandia,FransvanGestel,MichaelWeber",CarlosReygadas,"May1,2013 limited","Aug10,2016",2h,,,,$38.9K,
5473,Reality,80%,69%,R(SomeLanguage),"comedy,drama",Italian,MatteoGarrone,"MatteoGarrone,JeanLabadie,DomenicoProcacci,BernardTanguy,Jean-CharlesMille","UgoChiti,MassimoGaudioso,MaurizioBraucci","Mar15,2013 limited","Aug10,2016",1h55m,"Fandango,RaiCinema",,,,
5474,The Unspeakable Act,89%,63%,,drama,English,DanSallitt,"AniaTrzebiatowska,ShariBerman,JaimeChristley",DanSallitt,,"Nov20,2016",1h31m,,,,,
5475,Errors Of The Human Body,75%,41%,,"mysteryandthriller,drama",English,EronSheean,"AnnaHoward,MikeDehghan,NickFeik","ShaneDanielsen,EronSheean","Apr19,2013 limited","Apr6,2017",1h41m,"XYZFilms,PandastormPictures,High5Films,InstinctiveFilm",,,,
5476,Storm Surfers 3D,86%,70%,,documentary,English,"JustinMcMillan,ChristopherNelius",EllenorCox,,,"Oct24,2014",1h35m,"FirelightProductionsInc.,RedBullMediaHouse",,DolbyDigital,$117.1K,
5477,The Big Wedding,7%,40%,R(Language|BriefNudity|SexualContent),romance,English,JustinZackham,"ClayPecorin,HarryJ.Ufland,JustinZackham,RichardSalvatore,AnthonyKatagas",JustinZackham,"Apr26,2013 wide","Nov21,2015",1h30m,"TwoTonFilms,MillenniumFilms",,,$21.8M,
5478,Zambezia,25%,43%,G,"adventure,animation,comedy,kidsandfamily",English(UnitedKingdom),WayneThornley,JamesMiddleton,"WayneThornley,AndrewCook,RaffaellaDelleDonne,AnthonySilverston",,"Feb4,2014",1h23m,"120dBFilms,TriggerfishAnimationStudios",,,,
5479,Aftershock,38%,24%,R(Language|DrugContent|Rape|SomeNudity|StrongBloodyViolence),"mysteryandthriller,horror",English,NicolásLópez,EliRoth,"NicolásLópez,EliRoth,GuillermoAmoedo","May10,2013 limited","Aug10,2016",1h29m,"VertebraFilms,SobrasInternationalPictures,DragonflyEntertainment,CrossCreekPictures",,,$40.2K,
5480,What Maisie Knew,87%,80%,R(SomeLanguage),drama,English,"ScottMcGehee,DavidSiegel","WilliamTeitler,CharlesWeinstock,DanielaTaplinLundberg,DanielCrown","NancyDoyne,CarrollCartwright","May3,2013 limited","May22,2017",1h38m,Filmax,,,$1.1M,
5481,To The Wonder,46%,37%,R(SomeSexuality|Nudity),"romance,drama",English,TerrenceMalick,"SarahGreen,NicolasGonda",TerrenceMalick,"Apr12,2013 limited","Dec5,2016",1h52m,"BrothersKProds.,FilmNation",,,$586.3K,
5482,The Deep,94%,63%,,drama,Icelandic,BaltasarKormákur,"AgnesJohansen,BaltasarKormákur,EgilOdegard","BaltasarKormákur,JónAtliJónason",,"May23,2016",1h33m,BlueeyesProductions,,,,
5483,My Amityville Horror,70%,39%,,documentary,English,EricWalter,"EricWalter,AndreaAdams,JohnR.Blythe",EricWalter,"Mar15,2013 limited","Sep27,2016",1h29m,,,,,
5484,A Band Called Death,94%,85%,,documentary,English,"MarkChristopherCovino,JeffHowlett","MarkChristopherCovino,JerryFerrara,JeffHowlett,KevinMann,ScottMosier,MatthewPerniciaro",,"Jun28,2013 limited","Nov19,2016",1h38m,HavenEntertainment,,,,
5485,The Story Of Luke,83%,78%,,"comedy,drama",English,AlonsoMayo,"NinaLeidersdorff,JulienFavre,FredRoos",AlonsoMayo,"Apr5,2013 limited","Apr1,2017",1h35m,"FluidFilm,Showbox/Mediaplex",,,,
5486,Olympus Has Fallen,49%,66%,R(StrongViolence|LanguageThroughout),"mysteryandthriller,action",English,AntoineFuqua,"AlanSiegel,EdCathellIII,DannyLerner","CreightonRothenberger,KatrinBenedikt","Mar22,2013 wide","Sep7,2014",2h,MillenniumFilms,,"Datasat,DolbyDigital",$98.9M,
5487,Hatchet III,57%,39%,,horror,English,BJMcDonnell,SarahElbert,AdamGreen,"Jun14,2013 limited","Nov29,2016",1h21m,"ArieScopePictures,DarkSkyFilms",,,,
5488,Magic Magic,68%,30%,R(SomeSexualContent|Nudity|Language),mysteryandthriller,English,SebastiánSilva,"FridaTorresblanco,ChristineVachon,MikeWhite,DavidBernad",SebastiánSilva,,"Oct23,2018",1h37m,"BraveFilms,RipCord,KillerFilms",,,,
5489,The Guillotines,14%,16%,R(StrongViolentContent),"drama,action,history,sportsandfitness",Chinese,AndrewLauWai-Keung,,"OiWahLam,JoyceChan,Yuet-JanHui","Jun14,2013 limited","Aug12,2013",1h52m,"MediaAsiaFilmsLtd.[hk],WePictures,StellarMegaFilms",,,,
5490,The Hot Flashes,36%,34%,R(SomeSexualContent|DrugUse),comedy,English,SusanSeidelman,"BradHennig,NinaHendersonMoore,JoseMartinezJr.,JaminO'Brien",BradHennig,,"Dec1,2013",1h39m,VerticalEntertainment,,,,
5491,Evidence,6%,28%,,mysteryandthriller,English,OlatundeOsunsanmi,"DavidLancaster,MichelLitvak,MarcPlatt,AnthonyRhulen,JeffreyStott",JohnSwetnam,,"Oct4,2016",1h33m,"BoldFilms,MarcPlattProductions,FilmEngine",,,,
5492,Cavalcade,59%,26%,,drama,English,FrankLloyd,"FrankLloyd,WinfieldR.Sheehan","ReginaldBerkeley,SonyaLevien",,"Feb14,2016",1h49m,,,,,
5493,G.I. Joe: Retaliation,28%,48%,PG-13(IntenseSeqofCombatViolence|BriefSensuality|Language|MartialArtsAction),"adventure,action",English,JonM.Chu,"LorenzodiBonaventura,BrianGoldner","RhettReese,PaulWernick","Mar28,2013 wide","Apr10,2015",1h50m,DiBonaventuraPictures,,,$122.5M,
5494,Oblivion,53%,61%,PG-13(Nudity|BriefStrongLanguage|Sci-FiActionViolence|SomeSensuality),"adventure,scifi,action",English,JosephKosinski,"PeterChernin,DylanClark,BarryLevine,DuncanHenderson,JosephKosinski","KarlGajdusek,MichaelArndt","Apr19,2013 wide","Jan1,2015",2h5m,"CherninEntertainment,RadicalStudios,MonolithPictures",,"DTS,DolbySRD,SDDS",$89.0M,
5495,Cloudburst,100%,77%,,"adventure,comedy,drama",English,ThomFitzgerald,,ThomFitzgerald,,"Aug10,2016",1h33m,SidneyKimmelEntertainment,,,,
5496,Khyi Rgan (Old Dog),100%,NaN,,drama,Tibetan,PemaTseden,,PemaTseden,,"Jan25,2017",1h28m,,,,,
5497,West Of Memphis,95%,87%,R(SomeLanguage|DisturbingViolentContent),"crime,documentary,drama",English,AmyBerg,"AmyBerg,FranWalsh,PeterJackson,DamienWayneEchols,LorriDavis",,"Dec25,2012 limited","Aug6,2013",2h30m,"DisarmingFilms,WingNutFilms",,,$309.9K,
5498,Black Rock,53%,24%,R(PervasiveLanguage|BriefGraphicNudity|SexualReferences|SomeStrongViolence),mysteryandthriller,English,KatieAselton,AdeleRomanski,MarkDuplass,"May17,2013 limited","Dec15,2015",1h20m,SubmarineEntertainment,,,,
5499,Filly Brown,42%,72%,R(Language|Violence|SomeDrugUse),drama,English,"YoussefDelara,MichaelD.Olmos","AmirDelara,YoussefDelara,MichaelD.Olmos,MicoOlmos",YoussefDelara,"Apr26,2013 limited","Aug10,2016",1h39m,,,,$2.8M,
5500,A Thousand Kisses Deep,8%,33%,,"scifi,mysteryandthriller,romance",English,DanaLustig,OfirKedar,"AlexKustanovich,VadimMoldovan",,"Aug10,2016",1h24m,,,,,
5501,Sushi: The Global Catch,73%,63%,,documentary,English,MarkHall,MarkHall,,"Aug3,2012 limited","Sep1,2016",1h15m,SakanaFilmProductions,,,$5.8K,
5502,Eddie The Sleepwalking Cannibal,61%,52%,,"comedy,horror",English,BorisRodriguez,"MichaelDobbin,RonnieFridthjof,BorisRodriguez","JonathanRannells,BorisRodriguez","Apr5,2013 limited","Aug10,2016",1h23m,FridthjofFilm,,,$1.5K,
5503,The World Before Her,100%,79%,,documentary,English,NishaPahuja,"EdBarreveld,NishaPahuja,CorneliaPrincipe",,,"Jan8,2017",1h30m,,,,,
5504,Night Across The Street,95%,57%,,drama,Spanish,RaoulRuiz,"ChristianAspee,FrançoisMargolin",RaoulRuiz,,"Mar11,2017",1h50m,,,,,
5505,The Sapphires,91%,76%,PG-13(Sexuality|ASceneofWarViolence|Smoking|SomeLanguage|ThematicElements),"musical,comedy",English,WayneBlair,"RosemaryBlight,KyliedeFresne","KeithThompson,TonyBriggs","Mar22,2013 limited","Apr1,2017",1h43m,GoalpostPictures,,,$2.4M,
5506,Mud,97%,80%,PG-13(SexualReferences|Language|Smoking|SomeViolence|ThematicElements),"adventure,drama",English,JeffNichols,"LisaMariaFalcone,SarahGreen,AaronRyder",JeffNichols,"May10,2013 wide","Apr6,2015",2h10m,"BraceCove,FilmNation",,,$21.6M,
5507,Under The Bed,40%,14%,R(Language|SomeHorrorViolence),horror,English,StevenC.Miller,"WilliamClevinger,BradMiska",EricStolze,,"Jan25,2017",1h28m,,,,,
5508,Ginger & Rosa,78%,50%,PG-13(Drinking|DisturbingThematicMaterial|Smoking|InvolvingTeenChoices|Language|Sexuality),drama,English,SallyPotter,ChristopherSheppard,SallyPotter,"Mar15,2013 limited","Aug11,2016",1h30m,"DetDanskeFilminstitut,AdventurePictures,BritishFilmInstitute,BBCFilms,MisoFilm",,,$1.0M,
5509,My Awkward Sexual Adventure,71%,54%,,comedy,English,SeanGarrity,"JonasChernick,JulietteHagopian",JonasChernick,,"Aug10,2016",1h39m,"Julijette,Banana-MoonSkyFilms",,,,
5510,Love And Honor,13%,39%,PG-13(DrugContent|BriefViolence|Language|Sexuality),drama,English,DannyMooney,"ChipDiggins,PatrickOlson","JimBurnstein,GarrettK.Schiff","Mar22,2013 limited","Nov24,2016",1h36m,DeepBluePictures,,,$9.6K,
5511,Hansel And Gretel Get Baked,71%,69%,,"comedy,horror",English,DuaneJourney,"JamesCotten,BrettHudson,MarkMorgan,MichaelPollack",DavidTillman,,"Mar22,2016",1h27m,KerryKimmel&Pollack,,,,
5512,New World,63%,86%,,mysteryandthriller,Korean,Hoon-jungPark,"Woo-TaekKim,Min-jungPark",Hoon-jungPark,"Mar22,2013 limited","Aug10,2016",2h14m,SanaiPictures,,,$291.0K,
5513,Vehicle 19,23%,31%,R(BriefStrongLanguage),"mysteryandthriller,action",English,MukundaMichaelDewil,"RyanHaidarian,PeterSafran",MukundaMichaelDewil,,"Dec1,2013",1h25m,SafranCompany,,,,
5514,Rushlights,26%,64%,R(Sexuality|Language|DrugUse|Violence),"crime,mysteryandthriller,romance,drama",English,AntoniStutz,"GabriellaStollenwerck,AntoniStutz,JeffreyCoulter","AntoniStutz,AshleyScottMeyers","Jun21,2013 limited","Oct24,2014",1h36m,VerticalEntertainment,,,,
5515,Assault On Wall Street,25%,42%,R(StrongViolence|PervasiveLanguage),"mysteryandthriller,action",English,UweBoll,"DanClarke,ShawnWilliamson",,,"Nov17,2016",1h37m,LynnPeakProductions,,,,
5516,War On Whistleblowers: Free Press And The National Security State,60%,69%,,documentary,English,RobertGreenwald,"RobertGreenwald,NatalieKottke,JimMiller",,,"Aug10,2016",1h7m,,,,,
5517,Teen Beach Movie,86%,72%,TVG,"romance,musical,comedy",English,JeffreyHornaday,RobertF.Phillips,"VinceMarcello,MarkLandry,RobertHorn",,"Sep12,2016",1h30m,DisneyChannel,,,,
5518,Absence,22%,29%,,mysteryandthriller,English,JimmyLoweree,,JimmyLoweree,"Jul5,2013 limited","Mar11,2017",1h22m,RadcliffePictures,,,,
5519,DCU: Justice League: The Flashpoint Paradox,100%,92%,PG-13(Action|Sci-FiViolence),"adventure,action,animation,fantasy",English,JayOliva,"AlanBurnett,JamesTucker",JamesKrieg,,"Jun8,2016",1h15m,DCEntertainment,,,,
5520,Solomon Kane,67%,49%,R(ViolenceThroughout),"adventure,fantasy",English,M.J.Bassett,"SamuelHadida,PaulBerrow",M.J.Bassett,"Sep28,2012 limited","Aug10,2016",1h44m,DavisFilms,,,,
5521,Loose Cannons (Mine Vaganti),72%,73%,,"romance,comedy,drama",Italian,FerzanOzpetek,DomenicoProcacci,"IvanCotroneo,FerzanOzpetek",,"Apr2,2016",1h50m,,,,,
5522,Cost Of A Soul,27%,48%,R(BriefNudity|Violence|PervasiveLanguage),"crime,drama",English,SeanKirkpatrick,"SeanKirkpatrick,JonathanRisinger,EdwardJ.EberwineIII",SeanKirkpatrick,"May20,2011 limited","Aug10,2016",1h30m,CastShadow,,,,
5523,Trance,68%,62%,R(Language|GraphicNudity|SexualContent|SomeGrislyImages|Violence),"crime,mysteryandthriller,drama",English,DannyBoyle,ChristianColson,"JoeAhearne,JohnHodge","Apr5,2013 limited","Dec12,2015",1h41m,"CloudEight,DecibelFilms",,,$2.3M,
5524,Starbuck,65%,80%,R(SexualContent|Language|SomeDrugMaterial),"romance,comedy,drama",French(Canada),KenScott,"AndreRouleau,Valéried'Auteuil,JasmyrhLemoine,DannyRosner",MartinPetit,"Mar22,2013 limited","Aug10,2016",1h48m,CaramelFilms,,DolbyDigital,$3.8M,
5525,Bullet To The Head,45%,39%,R(BriefDrugUse|BloodyImages|Language|SomeNudity|StrongViolence),"mysteryandthriller,action",English,WalterHill,"AlexandraMilchan,AlfredGough,MilesMillar,KevinKingTempleton",AlessandroCamon,"Feb1,2013 wide","Jul25,2014",1h31m,"MillarGoughInk,AfterDarkFilms,Emjag",,"SDDS,DolbyDigital,DTS",$9.5M,
5526,Will,0%,45%,,drama,English,EllenPerry,,"EllenPerry,ZackAnderson",,"Apr3,2016",1h42m,GalateaFilm,,,,
5527,Hunky Dory,54%,49%,,musical,English,MarcEvans,,LaurenceCoriat,"Mar22,2013 limited","Aug10,2016",1h50m,Prescience,,,$19.0K,
5528,Wild Bill,100%,82%,,drama,English(UnitedKingdom),DexterFletcher,"TimothyBrianCole,SamTromans","DexterFletcher,DannyKing",,"Feb15,2017",1h38m,"STSProductions,20tenMedia",,,,
5529,Evil Dead,62%,63%,R(SomeSexualContent|Language|StrongBloodyViolence/Gore),"mysteryandthriller,horror",English,FedeAlvarez,"RobTapert,SamRaimi,BruceCampbell","FedeAlvarez,RodoSayaguesMendez","Apr5,2013 wide","Sep7,2014",1h31m,GhostHousePictures,,"SDDS,DolbyDigital,DTS",$54.2M,EvilDead
5530,The End Of Love,59%,47%,,drama,English,MarkWebber,"LizDestro,MollieEngelhart,DanielMcGilvray,MattSprague",MarkWebber,"Mar1,2013 limited","Aug19,2016",1h30m,PoorRichKids,,,$8.3K,
5531,Welcome To The Punch,48%,36%,R(Violence|Language),"crime,action,drama",English,EranCreevy,"RoryAitken,BrianKavanaugh-Jones,BenPugh",EranCreevy,"Mar27,2013 limited","Apr4,2017",1h39m,"WorldviewEntertainment,ScottFreeProductions,Automatik",,,$3.4K,
5532,The Jeffrey Dahmer Files,65%,41%,,documentary,English,ChrisJamesThompson,"ChrisJamesThompson,JackTurner","ChrisJamesThompson,AndrewSwant,JoeRiepenhoff",,"Sep27,2016",1h16m,,,,,
5533,Graceland,85%,71%,,"crime,mysteryandthriller,drama",Tagalog,RonMorales,"RebeccaLundgren,SamRider",RonMorales,"Apr26,2013 limited","Feb9,2017",1h24m,,,,,
5534,The Place Beyond The Pines,78%,75%,R(LanguageThroughout|ASexualReference|SomeViolence|TeenDrugandAlcoholUse),"crime,mysteryandthriller,drama",English,DerekCianfrance,"JamiePatricof,LynetteHowellTaylor,AlexOrlovsky,SidneyKimmel","BenCoccio,DariusMarder,DerekCianfrance","Mar29,2013 limited","Dec9,2015",2h20m,"SidneyKimmelEntertainment,ElectricCityEntertainment",,,$21.4M,
5535,An Affair Of The Heart,78%,78%,,documentary,English,SylviaCaminer,"SylviaCaminer,MelanieLentz-Janney",,,"Jun14,2016",1h34m,,,,,
